customer_id,first_name,last_name,gender,birth_year,country,city,region,acquisition_channel,loyalty_tier,registration_date,email
C000037,Petar,Vasic,M,1965,Cyprus,Nicosia,Nicosia,referral,Bronze,2025-01-24,customer000037@synthetic.example
C000038,Ivan,Evans,F,1991,Serbia,Kragujevac,Sumadija,affiliate,Bronze,2022-02-22,customer000038@synthetic.example
C000039,Tanja,Boric,F,2002,Serbia,Nis,Southern Serbia,affiliate,Bronze,2022-06-14,customer000039@synthetic.example
C000040,Marko,Petrov,M,1959,Cyprus,Limassol,Limassol,organic,Silver,2023-10-15,customer000040@synthetic.example
C000041,Olga,Kovac,F,1968,Cyprus,Larnaca,Larnaca,paid_search,Silver,2022-11-22,customer000041@synthetic.example
C000042,Nikola,Nikolic,F,1970,Serbia,Novi Sad,Vojvodina,organic,Bronze,2025-04-08,customer000042@synthetic.example
C000043,Stefan,Jovanovic,M,1984,Serbia,Novi Sad,Vojvodina,affiliate,Bronze,2025-07-09,customer000043@synthetic.example
C000044,Mila,Markovic,M,1963,Serbia,Belgrade,Belgrade,paid_search,Bronze,2025-03-05,customer000044@synthetic.example
C000045,Nikola,Jovanovic,M,1985,Serbia,Nis,Southern Serbia,social,Bronze,2025-04-17,customer000045@synthetic.example
C000046,Bojan,Costa,M,1951,Cyprus,Paphos,Paphos,offline,Platinum,2023-11-16,customer000046@synthetic.example
C000047,Marko,Savic,M,1982,Serbia,Belgrade,Belgrade,offline,Silver,2023-06-22,customer000047@synthetic.example
C000048,Olga,Costa,M,1983,Serbia,Belgrade,Belgrade,organic,Bronze,2024-01-24,customer000048@synthetic.example
C000049,Marko,Boric,F,1987,Cyprus,Larnaca,Larnaca,referral,Gold,2022-04-11,customer000049@synthetic.example
C000050,Ivan,Markovic,M,1950,Serbia,Belgrade,Belgrade,social,Bronze,2023-11-21,customer000050@synthetic.example
C000051,Andrej,Vasic,F,1959,Serbia,Novi Sad,Vojvodina,social,Bronze,2024-03-09,customer000051@synthetic.example
C000052,Andrej,Petrov,F,1991,Cyprus,Limassol,Limassol,organic,Bronze,2025-01-16,customer000052@synthetic.example
C000053,Petar,Nikolic,M,2004,Cyprus,Nicosia,Nicosia,offline,Bronze,2023-07-13,customer000053@synthetic.example
C000054,Petar,Boric,F,1987,Serbia,Belgrade,Belgrade,social,Silver,2024-03-12,customer000054@synthetic.example
C000055,Olga,Savic,F,1951,Serbia,Novi Sad,Vojvodina,organic,Bronze,2022-11-09,customer000055@synthetic.example
C000056,Alex,Popovic,F,2004,Serbia,Belgrade,Belgrade,referral,Silver,2023-11-26,customer000056@synthetic.example
C000057,Alex,Kovac,M,1987,Cyprus,Larnaca,Larnaca,organic,Bronze,2023-11-01,customer000057@synthetic.example
C000058,Ivan,Vasic,M,1996,Serbia,Kragujevac,Sumadija,organic,Platinum,2024-11-04,customer000058@synthetic.example
C000059,Stefan,Adams,M,1983,Cyprus,Nicosia,Nicosia,referral,Bronze,2022-06-19,customer000059@synthetic.example
C000060,Bojan,Petrov,M,1996,Serbia,Nis,Southern Serbia,offline,Silver,2023-11-22,customer000060@synthetic.example
C000061,Marko,Costa,M,1997,Serbia,Belgrade,Belgrade,organic,Silver,2022-03-07,customer000061@synthetic.example
C000062,Marko,Boric,M,1969,Serbia,Belgrade,Belgrade,paid_search,Bronze,2022-05-24,customer000062@synthetic.example
C000063,Tanja,Jovanovic,F,1975,Cyprus,Paphos,Paphos,paid_search,Silver,2025-06-04,customer000063@synthetic.example
C000064,Tanja,Nikolic,F,1982,Serbia,Belgrade,Belgrade,social,Bronze,2024-06-16,customer000064@synthetic.example
C000065,Jelena,Kovac,F,1948,Serbia,Belgrade,Belgrade,offline,Bronze,2024-11-26,customer000065@synthetic.example
C000066,Petar,Costa,F,1977,Serbia,Novi Sad,Vojvodina,paid_search,Bronze,2023-09-10,customer000066@synthetic.example
C000067,Elena,Vasic,F,2000,Serbia,Novi Sad,Vojvodina,paid_search,Bronze,2024-08-21,customer000067@synthetic.example
C000068,Olga,Vasic,F,1981,Serbia,Kragujevac,Sumadija,organic,Bronze,2022-12-21,customer000068@synthetic.example
C000069,Mila,Costa,M,1978,Cyprus,Limassol,Limassol,organic,Platinum,2025-12-03,customer000069@synthetic.example
C000070,Petar,Kovac,M,1968,Cyprus,Limassol,Limassol,organic,Silver,2023-08-19,customer000070@synthetic.example
C000071,Elena,Evans,F,1961,Serbia,Novi Sad,Vojvodina,social,Gold,2023-09-08,customer000071@synthetic.example
C000072,Tanja,Savic,F,1990,Serbia,Novi Sad,Vojvodina,affiliate,Bronze,2022-06-07,customer000072@synthetic.example
C000073,Eva,Georgiou,F,1950,Serbia,Belgrade,Belgrade,referral,Silver,2024-12-26,customer000073@synthetic.example
C000074,Ivan,Boric,F,1962,Cyprus,Nicosia,Nicosia,paid_search,Gold,2024-11-15,customer000074@synthetic.example
C000075,Anna,Costa,F,1965,Cyprus,Limassol,Limassol,organic,Bronze,2024-10-21,customer000075@synthetic.example
C000076,Sofia,Jovanovic,F,2003,Cyprus,Nicosia,Nicosia,offline,Bronze,2023-12-31,customer000076@synthetic.example
C000077,Sofia,Ilic,M,2003,Serbia,Kragujevac,Sumadija,referral,Silver,2023-09-20,customer000077@synthetic.example
C000078,Mila,Jovanovic,M,1964,Serbia,Nis,Southern Serbia,affiliate,Gold,2025-04-23,customer000078@synthetic.example
C000079,Olga,Vasic,M,2001,Serbia,Kragujevac,Sumadija,organic,Silver,2024-09-20,customer000079@synthetic.example
C000080,Daniel,Dimitrov,F,1982,Serbia,Belgrade,Belgrade,paid_search,Silver,2024-02-05,customer000080@synthetic.example
C000081,Ivan,Savic,F,1997,Serbia,Belgrade,Belgrade,paid_search,Bronze,2025-12-02,customer000081@synthetic.example
C000082,Elena,Boric,M,1988,Serbia,Belgrade,Belgrade,organic,Bronze,2025-01-01,customer000082@synthetic.example
C000083,Petar,Boric,M,1962,Serbia,Belgrade,Belgrade,social,Bronze,2025-11-24,customer000083@synthetic.example
C000084,Andrej,Jovanovic,F,2000,Serbia,Nis,Southern Serbia,affiliate,Bronze,2023-06-24,customer000084@synthetic.example
C000085,Bojan,Ilic,M,1997,Cyprus,Larnaca,Larnaca,organic,Bronze,2023-11-08,customer000085@synthetic.example
C000086,Elena,Savic,M,1965,Serbia,Novi Sad,Vojvodina,paid_search,Bronze,2025-09-15,customer000086@synthetic.example
C000087,Mila,Dimitrov,F,1965,Cyprus,Nicosia,Nicosia,referral,Silver,2024-08-10,customer000087@synthetic.example
C000088,Marko,Jovanovic,M,1970,Serbia,Kragujevac,Sumadija,offline,Silver,2023-04-08,customer000088@synthetic.example
C000089,Marko,Markovic,M,1959,Serbia,Belgrade,Belgrade,referral,Bronze,2024-11-30,customer000089@synthetic.example
C000090,Ivan,Popovic,F,2002,Serbia,Novi Sad,Vojvodina,organic,Bronze,2025-09-08,customer000090@synthetic.example
C000091,Elena,Ilic,F,2005,Cyprus,Limassol,Limassol,paid_search,Silver,2024-05-08,customer000065@synthetic.example
C000092,Sofia,Boric,F,1964,Serbia,Belgrade,Belgrade,social,Silver,2025-05-15,customer000092@synthetic.example
C000093,Eva,Evans,M,1955,Cyprus,Limassol,Limassol,affiliate,Bronze,2025-05-19,customer000093@synthetic.example
C000094,Mila,Petrov,M,1995,Cyprus,Limassol,Limassol,affiliate,Bronze,2022-02-09,customer000094@synthetic.example
C000095,Anna,Georgiou,F,1976,Cyprus,Nicosia,Nicosia,organic,Bronze,2022-02-12,customer000095@synthetic.example
C000096,Daniel,Georgiou,F,1962,Serbia,Novi Sad,Vojvodina,paid_search,Silver,2022-02-08,customer000096@synthetic.example
C000097,Sofia,Dimitrov,M,1984,Serbia,Novi Sad,Vojvodina,organic,Bronze,2023-09-23,customer000097@synthetic.example
C000098,Elena,Jovanovic,M,1999,Serbia,Belgrade,Belgrade,social,Bronze,2023-01-09,customer000098@synthetic.example
C000099,Stefan,Costa,M,1995,Serbia,Belgrade,Belgrade,social,Bronze,2025-02-14,customer000099@synthetic.example
C000100,Elena,Markovic,F,1948,Cyprus,Limassol,Limassol,paid_search,Gold,2024-03-04,customer000100@synthetic.example
C000101,Tanja,Adams,F,1983,Serbia,Novi Sad,Vojvodina,organic,Silver,2022-12-17,customer000101@synthetic.example
C000102,Ivan,Jovanovic,F,1961,Serbia,Novi Sad,Vojvodina,referral,Bronze,2022-02-05,customer000102@synthetic.example
C000103,Petar,Nikolic,F,1973,Serbia,Novi Sad,Vojvodina,organic,Bronze,2024-10-20,customer000103@synthetic.example
C000104,Andrej,Georgiou,F,2000,Serbia,Belgrade,Belgrade,social,Bronze,2024-02-06,customer000104@synthetic.example
C000105,Daniel,Nikolic,F,1966,Serbia,Belgrade,Belgrade,referral,Silver,2025-10-07,customer000105@synthetic.example
C000106,Alex,Popovic,M,1978,Serbia,Belgrade,Belgrade,organic,Bronze,2025-04-16,customer000106@synthetic.example
C000107,Eva,Costa,M,1978,Cyprus,Larnaca,Larnaca,organic,Bronze,2022-05-07,customer000107@synthetic.example
C000108,Sofia,Savic,M,1965,Cyprus,Nicosia,Nicosia,affiliate,Silver,2023-10-16,customer000108@synthetic.example
C000109,Jelena,Vasic,F,1976,Cyprus,Limassol,Limassol,social,Bronze,2023-07-21,customer000109@synthetic.example
C000110,Stefan,Markovic,M,1988,Serbia,Novi Sad,Vojvodina,organic,Silver,2024-05-02,customer000110@synthetic.example
C000111,Eva,Evans,M,1981,Serbia,Belgrade,Belgrade,offline,Bronze,2024-03-07,customer000111@synthetic.example
C000112,Jelena,Ilic,F,1956,Serbia,Kragujevac,Sumadija,organic,Bronze,2025-02-25,customer000112@synthetic.example
C000113,Eva,Nikolic,M,1952,Cyprus,Nicosia,Nicosia,paid_search,Bronze,2023-02-16,customer000113@synthetic.example
C000114,Sofia,Ilic,F,1988,Cyprus,Nicosia,Nicosia,organic,Platinum,2024-01-18,customer000114@synthetic.example
C000115,Alex,Boric,F,1955,Serbia,Belgrade,Belgrade,offline,Bronze,2024-02-22,customer000115@synthetic.example
C000116,Sofia,Nikolic,M,1993,Serbia,Novi Sad,Vojvodina,social,Gold,2024-03-07,customer000116@synthetic.example
C000117,Anna,Dimitrov,M,1999,Serbia,Kragujevac,Sumadija,organic,Bronze,2023-01-07,customer000117@synthetic.example
C000118,Nikola,Savic,F,1955,Serbia,Novi Sad,Vojvodina,organic,Silver,2023-10-15,customer000118@synthetic.example
C000119,Daniel,Petrov,M,1975,Cyprus,Limassol,Limassol,paid_search,Silver,2025-01-10,customer000119@synthetic.example
C000120,Olga,Dimitrov,F,1980,Cyprus,Limassol,Limassol,social,Bronze,2024-12-15,customer000120@synthetic.example
C000121,Elena,Costa,F,1966,Serbia,Belgrade,Belgrade,organic,Bronze,2025-03-02,customer000121@synthetic.example
C000122,Stefan,Savic,M,2005,Cyprus,Nicosia,Nicosia,organic,Silver,2024-09-21,customer000122@synthetic.example
C000123,Alex,Vasic,F,1965,Serbia,Belgrade,Belgrade,referral,Silver,2024-04-16,customer000123@synthetic.example
C000124,Tanja,Dimitrov,F,1977,Serbia,Belgrade,Belgrade,social,Bronze,2022-05-15,customer000124@synthetic.example
C000125,Jelena,Costa,M,1950,Cyprus,Nicosia,Nicosia,paid_search,Bronze,2025-12-25,customer000125@synthetic.example
C000126,Alex,Dimitrov,F,1968,Serbia,Kragujevac,Sumadija,social,Bronze,2025-08-23,customer000126@synthetic.example
C000127,Alex,Ilic,M,1969,Cyprus,Paphos,Paphos,organic,Silver,2024-01-25,customer000127@synthetic.example
C000128,Tanja,Dimitrov,M,1954,Cyprus,Nicosia,Nicosia,referral,Bronze,2023-01-10,customer000128@synthetic.example
C000129,Stefan,Dimitrov,F,1985,Serbia,Belgrade,Belgrade,affiliate,Bronze,2022-11-22,customer000129@synthetic.example
C000130,Sofia,Popovic,F,2003,Cyprus,Nicosia,Nicosia,organic,Bronze,2025-11-17,customer000130@synthetic.example
C000131,Olga,Vasic,F,1965,Serbia,Belgrade,Belgrade,organic,Silver,2024-10-10,customer000131@synthetic.example
C000132,Marko,Georgiou,M,1999,Serbia,Novi Sad,Vojvodina,affiliate,Silver,2022-09-05,customer000132@synthetic.example
C000133,Tanja,Evans,M,1969,Cyprus,Nicosia,Nicosia,organic,Gold,2024-12-17,customer000133@synthetic.example
C000134,Jelena,Jovanovic,M,1950,Cyprus,Limassol,Limassol,referral,Silver,2022-03-21,customer000134@synthetic.example
C000135,Eva,Ilic,F,1955,Cyprus,Nicosia,Nicosia,social,Silver,2022-10-04,customer000135@synthetic.example
C000136,Eva,Costa,M,1957,Cyprus,Larnaca,Larnaca,organic,Silver,2022-07-23,customer000136@synthetic.example
C000137,Elena,Jovanovic,M,1991,Cyprus,Larnaca,Larnaca,paid_search,Bronze,2024-06-22,customer000137@synthetic.example
C000138,Olga,Vasic,M,2003,Serbia,Kragujevac,Sumadija,affiliate,Bronze,2024-02-18,customer000138@synthetic.example
C000139,Jelena,Petrov,F,1952,Cyprus,Limassol,Limassol,social,Silver,2022-07-08,customer000139@synthetic.example
C000140,Stefan,Kovac,F,1989,Cyprus,Nicosia,Nicosia,paid_search,Bronze,2024-06-22,customer000140@synthetic.example
C000141,Elena,Petrov,M,1969,Serbia,Belgrade,Belgrade,social,Bronze,2024-07-01,customer000141@synthetic.example
C000142,Alex,Nikolic,M,1996,Cyprus,Limassol,Limassol,affiliate,Gold,2025-03-22,customer000142@synthetic.example
C000143,Victor,Petrov,F,1960,Cyprus,Nicosia,Nicosia,organic,Bronze,2024-01-16,customer000143@synthetic.example
C000144,Tanja,Markovic,M,1975,Cyprus,Paphos,Paphos,organic,Bronze,2025-02-15,customer000144@synthetic.example
C000145,Petar,Savic,M,1975,Cyprus,Nicosia,Nicosia,paid_search,Silver,2023-09-26,customer000145@synthetic.example
C000146,Tanja,Boric,F,1965,Serbia,Kragujevac,Sumadija,offline,Bronze,2023-07-24,customer000146@synthetic.example
C000147,Andrej,Boric,F,1958,Cyprus,Larnaca,Larnaca,organic,Platinum,2024-05-26,customer000147@synthetic.example
C000148,Daniel,Petrov,F,1960,Cyprus,Paphos,Paphos,social,Bronze,2025-08-11,customer000148@synthetic.example
C000149,Eva,Petrov,M,1989,Serbia,Novi Sad,Vojvodina,paid_search,Bronze,2024-04-21,customer000149@synthetic.example
C000150,Alex,Vasic,M,1958,Serbia,Belgrade,Belgrade,organic,Bronze,2023-05-03,customer000150@synthetic.example
C000151,Tanja,Evans,F,1995,Cyprus,Nicosia,Nicosia,offline,Bronze,2024-02-09,customer000151@synthetic.example
C000152,Jelena,Jovanovic,F,1959,Serbia,Belgrade,Belgrade,offline,Bronze,2024-06-06,customer000152@synthetic.example
C000153,Sofia,Nikolic,F,1995,Serbia,Belgrade,Belgrade,paid_search,Silver,2024-11-01,customer000153@synthetic.example
C000154,Daniel,Adams,M,1957,Serbia,Belgrade,Belgrade,organic,Bronze,2024-03-01,customer000154@synthetic.example
C000155,Daniel,Jovanovic,F,1998,Cyprus,Limassol,Limassol,paid_search,Bronze,2023-12-07,customer000155@synthetic.example
C000156,Nikola,Kovac,M,2003,Serbia,Nis,Southern Serbia,paid_search,Silver,2025-10-26,customer000156@synthetic.example
C000157,Bojan,Vasic,M,1961,Serbia,Novi Sad,Vojvodina,social,Bronze,2025-07-07,customer000157@synthetic.example
C000158,Anna,Jovanovic,M,1975,Serbia,Novi Sad,Vojvodina,social,Bronze,2022-08-10,customer000158@synthetic.example
C000159,Anna,Nikolic,M,1988,Cyprus,Nicosia,Nicosia,organic,Bronze,2025-10-19,customer000159@synthetic.example
C000160,Stefan,Kovac,F,1998,Serbia,Belgrade,Belgrade,paid_search,Platinum,2022-10-18,customer000160@synthetic.example
C000161,Sofia,Georgiou,M,2000,Cyprus,Nicosia,Nicosia,paid_search,Bronze,2022-08-18,customer000161@synthetic.example
C000162,Stefan,Savic,F,1983,Serbia,Novi Sad,Vojvodina,referral,Bronze,2023-06-12,customer000162@synthetic.example
C000163,Sofia,Evans,M,2003,Cyprus,Paphos,Paphos,social,Bronze,2024-03-15,customer000163@synthetic.example
C000164,Andrej,Costa,F,2001,Serbia,Novi Sad,Vojvodina,paid_search,Bronze,2025-04-19,customer000164@synthetic.example
C000165,Petar,Georgiou,M,1998,Serbia,Belgrade,Belgrade,referral,Bronze,2023-11-24,customer000165@synthetic.example
C000166,Mila,Ilic,M,2004,Serbia,Nis,Southern Serbia,social,Silver,2024-04-01,customer000166@synthetic.example
C000167,Alex,Georgiou,F,1963,Cyprus,Limassol,Limassol,paid_search,Bronze,2025-04-13,customer000167@synthetic.example
C000168,Olga,Vasic,U,1970,Serbia,Belgrade,Belgrade,offline,Bronze,2025-12-24,customer000168@synthetic.example
C000169,Olga,Popovic,M,1948,Cyprus,Nicosia,Nicosia,social,Bronze,2023-01-13,customer000169@synthetic.example
C000170,Eva,Kovac,M,1983,Serbia,Belgrade,Belgrade,organic,Gold,2022-11-01,customer000170@synthetic.example
C000171,Tanja,Kovac,M,2002,Serbia,Kragujevac,Sumadija,organic,Platinum,2024-08-15,customer000171@synthetic.example
C000172,Eva,Evans,F,1976,Serbia,Nis,Southern Serbia,referral,Bronze,2022-02-24,customer000172@synthetic.example
C000173,Mila,Dimitrov,U,1989,Serbia,Novi Sad,Vojvodina,organic,Bronze,2023-05-25,customer000173@synthetic.example
C000174,Stefan,Costa,M,1997,Serbia,Nis,Southern Serbia,paid_search,Bronze,2023-09-03,customer000174@synthetic.example
C000175,Sofia,Petrov,F,1983,Serbia,Belgrade,Belgrade,paid_search,Silver,2022-02-23,customer000175@synthetic.example
C000176,Marko,Ilic,M,1954,Cyprus,Nicosia,Nicosia,organic,Bronze,2023-09-02,customer000176@synthetic.example
C000177,Andrej,Evans,F,1980,Serbia,Belgrade,Belgrade,organic,Bronze,2023-11-25,customer000177@synthetic.example
C000178,Petar,Dimitrov,M,1948,Cyprus,Larnaca,Larnaca,referral,Gold,2025-04-12,customer000178@synthetic.example
C000179,Olga,Evans,M,2004,Cyprus,Larnaca,Larnaca,organic,Bronze,2024-12-10,customer000179@synthetic.example
C000180,Elena,Evans,M,1972,Cyprus,Limassol,Limassol,offline,Bronze,2024-02-01,customer000180@synthetic.example
C000181,Petar,Costa,M,2005,Serbia,Belgrade,Belgrade,referral,Gold,2022-09-13,customer000181@synthetic.example
C000182,Sofia,Adams,M,1955,Cyprus,Nicosia,Nicosia,social,Silver,2024-07-09,customer000182@synthetic.example
C000183,Alex,Savic,F,1973,Serbia,Kragujevac,Sumadija,social,Silver,2024-08-11,customer000183@synthetic.example
C000184,Stefan,Georgiou,F,1989,Cyprus,Paphos,Paphos,organic,Bronze,2024-05-13,customer000184@synthetic.example
C000185,Bojan,Evans,F,1952,Serbia,Belgrade,Belgrade,paid_search,Bronze,2024-12-09,customer000185@synthetic.example
C000186,Elena,Adams,M,1980,Serbia,Belgrade,Belgrade,affiliate,Bronze,2022-06-26,customer000186@synthetic.example
C000187,Jelena,Georgiou,F,1996,Cyprus,Nicosia,Nicosia,organic,Bronze,2022-10-13,customer000187@synthetic.example
C000188,Jelena,Vasic,M,1999,Serbia,Kragujevac,Sumadija,social,Bronze,2024-08-19,customer000188@synthetic.example
C000189,Anna,Dimitrov,F,1953,Serbia,Belgrade,Belgrade,social,Bronze,2024-10-18,customer000189@synthetic.example
C000190,Sofia,Markovic,M,1991,Serbia,Belgrade,Belgrade,social,Bronze,2023-05-31,customer000190@synthetic.example
C000191,Eva,Petrov,M,1952,Serbia,,Southern Serbia,paid_search,Bronze,2024-01-31,customer000191@synthetic.example
C000192,Victor,Nikolic,F,1965,Serbia,Novi Sad,Vojvodina,paid_search,Silver,2022-11-13,customer000192@synthetic.example
C000193,Stefan,Nikolic,M,1964,Serbia,Kragujevac,Sumadija,organic,Silver,2023-12-25,customer000193@synthetic.example
C000194,Sofia,Dimitrov,F,1999,Serbia,Novi Sad,Vojvodina,organic,Bronze,2025-09-11,customer000194@synthetic.example
C000195,Olga,Georgiou,F,2001,Serbia,Nis,Southern Serbia,organic,Gold,2025-08-23,customer000195@synthetic.example
C000196,Marko,Popovic,M,1970,Serbia,Belgrade,Belgrade,paid_search,Silver,2024-11-18,customer000196@synthetic.example
C000197,Anna,Kovac,M,1978,Serbia,Novi Sad,Vojvodina,social,Silver,2023-03-10,customer000197@synthetic.example
C000198,Marko,Georgiou,F,1980,Serbia,Belgrade,Belgrade,organic,Bronze,2025-08-01,customer000198@synthetic.example
C000199,Mila,Dimitrov,F,1979,Serbia,Novi Sad,Vojvodina,organic,Silver,2025-12-02,customer000199@synthetic.example
C000200,Anna,Vasic,F,1969,Cyprus,Nicosia,Nicosia,affiliate,Bronze,2025-01-20,customer000200@synthetic.example
C000201,Nikola,Markovic,M,1948,Cyprus,Nicosia,Nicosia,affiliate,Bronze,2025-09-22,customer000201@synthetic.example
C000202,Ivan,Dimitrov,M,1977,Cyprus,Limassol,Limassol,paid_search,Bronze,2024-05-10,customer000202@synthetic.example
C000203,Alex,Petrov,F,1965,Cyprus,Nicosia,Nicosia,referral,Bronze,2023-01-19,customer000203@synthetic.example
C000204,Petar,Adams,M,1999,Cyprus,Limassol,Limassol,organic,Bronze,2023-09-20,customer000204@synthetic.example
C000205,Stefan,Popovic,U,2002,Cyprus,Paphos,Paphos,referral,Bronze,2022-09-11,customer000205@synthetic.example
C000206,Alex,Vasic,M,1963,Serbia,Belgrade,Belgrade,social,Silver,2025-02-03,customer000206@synthetic.example
C000207,Nikola,Savic,F,1972,Serbia,Belgrade,Belgrade,organic,Bronze,2023-04-08,customer000207@synthetic.example
C000208,Ivan,Dimitrov,F,1994,Cyprus,Limassol,Limassol,referral,Gold,2023-05-23,customer000208@synthetic.example
C000209,Nikola,Petrov,F,1960,Serbia,Belgrade,Belgrade,referral,Gold,2022-09-02,customer000209@synthetic.example
C000210,Mila,Ilic,M,1997,Cyprus,Larnaca,Larnaca,offline,Bronze,2024-11-30,customer000210@synthetic.example
C000211,Bojan,Popovic,M,1986,Cyprus,Limassol,Limassol,paid_search,Silver,2023-05-20,customer000211@synthetic.example
C000212,Marko,Adams,M,1989,Serbia,Novi Sad,Vojvodina,organic,Silver,2024-08-01,customer000212@synthetic.example
C000213,Victor,Vasic,F,1954,Serbia,Novi Sad,Vojvodina,organic,Bronze,2025-11-13,customer000213@synthetic.example
C000214,Sofia,Costa,M,1975,Cyprus,Limassol,Limassol,referral,Gold,2024-07-12,customer000214@synthetic.example
C000215,Marko,Dimitrov,M,1948,Cyprus,Nicosia,Nicosia,offline,Bronze,2025-04-23,customer000215@synthetic.example
C000216,Tanja,Costa,F,1997,Cyprus,Nicosia,Nicosia,offline,Bronze,2023-01-20,customer000216@synthetic.example
C000217,Olga,Popovic,F,1949,Serbia,Kragujevac,Sumadija,referral,Bronze,2023-09-15,customer000217@synthetic.example
C000218,Elena,Evans,F,1960,Cyprus,Limassol,Limassol,referral,Bronze,2023-03-04,customer000218@synthetic.example
C000219,Andrej,Nikolic,M,1968,Serbia,Belgrade,Belgrade,offline,Silver,2022-02-01,customer000219@synthetic.example
C000220,Alex,Dimitrov,M,1981,Serbia,Belgrade,Belgrade,affiliate,Bronze,2022-11-17,customer000220@synthetic.example
